rewFunc,trial,run,points,magnitude,score,prob,ev,rt,emotion
IEV,200,5,1779.8237,137,0,0.37665,51.5104,4001,happy
DEV,201,6,1834.4889,72,72,0.6228,44.8415,1108,scram
DEV,202,6,1840.7719,70,70,0.75035,52.7926,556,scram
DEV,203,6,1847.5674,76,0,0.56814,43.4173,1384,scram
DEV,204,6,1854.3679,78,0,0.49272,38.611,1831,scram
DEV,205,6,1862.2294,80,0,0.46851,37.4819,1998,scram
DEV,206,6,1868.6913,77,0,0.43462,33.4333,2259,scram
DEV,207,6,1876.4989,79,0,0.39946,31.5313,2573,scram
DEV,208,6,1884.324,84,84,0.36989,31.0086,2880,scram
DEV,209,6,1892.8725,81,81,0.34659,27.9224,3152,scram
DEV,210,6,1901.6581,86,0,0.31241,26.7529,3587,scram
DEV,211,6,1909.3702,82,0,0.29284,24.0738,3841,scram
DEV,212,6,1915.3825,72,72,0.77872,56.404,445,scram
DEV,213,6,1922.5648,83,0,0.36081,29.9884,2983,scram
DEV,214,6,1930.0579,87,87,0.34171,29.6324,3212,scram
DEV,215,6,1938.0134,82,0,0.34864,28.7626,3127,scram
DEV,216,6,1945.8618,83,0,0.33279,27.6214,3324,scram
DEV,217,6,1953.8282,79,0,0.38211,30.3606,2748,scram
DEV,218,6,1962.0255,82,82,0.35771,29.4082,3019,scram
DEV,219,6,1969.8609,80,0,0.33153,26.5355,3340,scram
DEV,220,6,1978.39,77,77,0.53344,41.2409,1578,scram
DEV,221,6,1985.2255,74,0,0.58722,43.4125,1284,scram
DEV,222,6,1992.7149,79,0,0.35934,28.4457,3000,scram
DEV,223,6,2000.8213,80,0,0.34659,27.5758,3152,scram
DEV,224,6,2008.8258,80,0,0.3708,29.5907,2870,scram
DEV,225,6,2015.7545,79,79,0.35364,28.0582,3067,scram
DEV,226,6,2023.5951,78,0,0.35055,27.4965,3104,scram
DEV,227,6,2031.4167,84,0,0.35482,29.9127,3053,scram
DEV,228,6,2038.6121,81,0,0.36935,29.8615,2886,scram
DEV,229,6,2046.3601,83,0,0.35222,29.3698,3084,scram
DEV,230,6,2053.0684,78,0,0.55854,43.3799,1436,scram
DEV,231,6,2059.2344,73,0,0.57567,42.1546,1344,scram
